dataset,AUC,Threshold,Accuracy,Balanced_Accuracy,Sensitivity,Specificity,Precision_PPV,NPV,F1,MCC,TN,FP,FN,TP
development_nested_OOF,0.6512631204412026,0.6085649775119196,0.62,0.6264899484077566,0.38311688311688313,0.8698630136986302,0.7564102564102564,0.5720720720720721,0.5086206896551724,0.2882697097601116,127,19,95,59
independent_validation,0.6761990950226244,0.6085649775119196,0.5333333333333333,0.56289592760181,0.3411764705882353,0.7846153846153846,0.6744186046511628,0.4766355140186916,0.453125,0.1378454853218949,51,14,56,29
